Unnamed: 0,sentimen,tweet,tweet_no_stopwords,stem
0,negatif,kata prabowo indonesia tidak dihargai bangsa asing berita ini y pasti hoax buatan penguasa ya kan rockygerungy a,prabowo indonesia tidak dihargai bangsa asing berita y hoax buatan penguasa ya rockygerungy a,prabowo indonesia tidak harga bangsa asing berita y hoax buat kuasa ya rockygerungy a
1,netral,batuan langka tasbih jokowi hadiah dari habib luthfi seharga mercy,batuan langka tasbih jokowi hadiah habib luthfi seharga mercy,batu langka tasbih jokowi hadiah habib luthfi harga mercy
2,netral,di era jokowi ekonomi indonesia semakin baik 01indonesiamaju jokowilagi jokowimenangtotaldebat pictwittercomw2ythnxstp,era jokowi ekonomi indonesia 01indonesiamaju jokowilagi jokowimenangtotaldebat pictwittercomw2ythnxstp,era jokowi ekonomi indonesia 01indonesiamaju jokowilagi jokowimenangtotaldebat pictwittercomw2ythnxstp
3,positif,bagi sumatera selatan asian games berdampak pada ekonomi langsung diprediksi mencapai 185 triliun indonesia maju jokowi hebat,sumatera selatan asian games berdampak ekonomi langsung diprediksi mencapai 185 triliun indonesia maju jokowi hebat,sumatera selatan asi games dampak ekonomi langsung prediksi capai 185 triliun indonesia maju jokowi hebat
4,negatif,negara kita ngutang buat bangun infrastruktur yang sudah dipakai masyarakat terus masyarakatnya keluh karena negara ngutang setiap negara itu pasti ngutang utang bisa dibayar kalau negara dapat penghasilan penghasilan negara itu ya dari pajak,negara ngutang bangun infrastruktur dipakai masyarakat masyarakatnya keluh negara ngutang negara ngutang utang dibayar negara penghasilan penghasilan negara ya pajak,negara ngutang bangun infrastruktur pakai masyarakat masyarakat keluh negara ngutang negara ngutang utang bayar negara hasil hasil negara ya pajak
5,netral,yang bisikin pak jokowi cuma memikirkan perputaran duit di golongan tertentu esports hanya sebagian kecil dari sekian besar penentu pertumbuhan perekonomian indonesia bukan hal fundamental betul yang dikatakan prabowo walau dengan bahas yang sederhana tapi mrpkan aspek fundamental ekonomi,bisikin jokowi memikirkan perputaran duit golongan esports sekian penentu pertumbuhan perekonomian indonesia fundamental prabowo bahas sederhana mrpkan aspek fundamental ekonomi,bisikin jokowi pikir putar duit golong esports sekian tentu tumbuh ekonomi indonesia fundamental prabowo bahas sederhana mrpkan aspek fundamental ekonomi
6,positif,masa tenang masih ngoceh ajattp jokowi harga mati,tenang ngoceh ajattp jokowi harga mati,tenang ngoceh ajattp jokowi harga mati
7,positif,uasdifitnahkejibalasditps kerjasa ekonomi bilateral multilateral kita doakan di tps sambil dengarkan suara hati uasdifitnahkejibalasditps,uasdifitnahkejibalasditps kerjasa ekonomi bilateral multilateral doakan tps dengarkan suara hati uasdifitnahkejibalasditps,uasdifitnahkejibalasditps kerjasa ekonomi bilateral multilateral doa tps dengar suara hati uasdifitnahkejibalasditps
8,netral,iya benar aa kita mantap kan pilihan ke pemimpin yang bisa memberi solusi jokowi bukan yang menyalahkan pemimpin sebelumnya sbyudhoyono dismash sama mas bowo percuma koalisi kalau mengantam teman koalisi y yang pulang penting pilih pemimpin yang rajin ibadah wajib bisa ngaji jumatanyTMy,iya aa mantap pilihan pemimpin solusi jokowi menyalahkan pemimpin sbyudhoyono dismash mas bowo koalisi mengantam teman koalisi y pulang pilih pemimpin rajin ibadah wajib ngaji jumatanytmy,iya aa mantap pilih pimpin solusi jokowi salah pimpin sbyudhoyono dismash mas bowo koalisi mengantam teman koalisi y pulang pilih pimpin rajin ibadah wajib ngaji jumatanytmy
9,negatif,prabowosandi sepakat tak ambil gaji karena negara sedang susah sourcedlvritutm mediumtwittera a goaceh,prabowosandi sepakat ambil gaji negara susah sourcedlvritutm mediumtwittera a goaceh,prabowosandi sepakat ambil gaji negara susah sourcedlvritutm mediumtwittera a goaceh
10,positif,pilihorangbaik pilihjelasislamnya pilihbajuputih pilih pemimpin itu yang sudah jelas banyak pencapaiannya nah ini dia 5 pencapaian ekonomi selama pemerintahan jokowi coblos 01 yuk kerja pasti,pilihorangbaik pilihjelasislamnya pilihbajuputih pilih pemimpin pencapaiannya 5 pencapaian ekonomi pemerintahan jokowi coblos 01 yuk kerja,pilihorangbaik pilihjelasislamnya pilihbajuputih pilih pimpin capai 5 capai ekonomi perintah jokowi coblos 01 yuk kerja
11,positif,calon presiden jokowi menjelaskan program kartu pra kerja akan memberikan insentif dalam kurun waktu tertentu bukan berarti memberikan gaji secara cumacuma bagi masyarakat yang belum berpenghasilan 2019jokowikyaimaruf pictwittercomnj2hhmiizv,calon presiden jokowi program kartu pra kerja insentif kurun gaji cumacuma masyarakat berpenghasilan 2019jokowikyaimaruf pictwittercomnj2hhmiizv,calon presiden jokowi program kartu pra kerja insentif kurun gaji cumacuma masyarakat hasil 2019jokowikyaimaruf pictwittercomnj2hhmiizv
12,negatif,tidak nginti kamu to yunartowijaya dan si at abdillahtoha juga tidak ngaca tidak usah ngajarin sandi soal ekonomi dibanding jokowi,tidak nginti to yunartowijaya si at abdillahtoha tidak ngaca tidak ngajarin sandi ekonomi dibanding jokowi,tidak nginti to yunartowijaya si at abdillahtoha tidak ngaca tidak ngajarin sandi ekonomi banding jokowi
13,positif,menurut jokowi pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal petani sebagai produsen senang karena hasil kerjanya dihargai secara layak 2019jokowikyaimaruf rakyatinginjokowimenang nusantarastatus1061792783114022912photo1 pictwittercomyzpyj7ihsoa,jokowi pemerintah berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak 2019jokowikyaimaruf rakyatinginjokowimenang nusantarastatus1061792783114022912photo1 pictwittercomyzpyj7ihsoa,jokowi perintah upaya jaga imbang harga posisi normal tani produsen senang hasil kerja harga layak 2019jokowikyaimaruf rakyatinginjokowimenang nusantarastatus1061792783114022912photo1 pictwittercomyzpyj7ihsoa
14,netral,terlalu berat nge bahas ekonomi dengan angka2 cukup bahas mobil lejen saja,berat nge bahas ekonomi angka2 bahas mobil lejen,berat nge bahas ekonomi angka2 bahas mobil lejen
15,netral,mantulz sekali pakmengisi masa tenang dengan umroh bersama kel tercinta istri anak2 pada ahirnya memang keluarga lah asset pulang berharga sehat sll pakdey,mantulz pakmengisi tenang umroh kel tercinta istri anak2 ahirnya keluarga asset pulang berharga sehat sll pakdey,mantulz pakmengisi tenang umroh kel cinta istri anak2 ahirnya keluarga asset pulang harga sehat sll pakdey
16,positif,pilihorangbaik pilihjelasislamnya pilihbajuputih pentingnya sisi industri kreatif dan inovatif di era industri global membuat jokowi tergerak untuk mengubah badan ekonomi kreatif bekraf menjadi sebuah kementerian coblos 01 yuk kerja pasti pictwittercom4vpqigzacq,pilihorangbaik pilihjelasislamnya pilihbajuputih sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian coblos 01 yuk kerja pictwittercom4vpqigzacq,pilihorangbaik pilihjelasislamnya pilihbajuputih sisi industri kreatif inovatif era industri global jokowi gerak ubah badan ekonomi kreatif bekraf menteri coblos 01 yuk kerja pictwittercom4vpqigzacq
17,positif,dalam 16 pakta integritas antara prabowo sandi dan ulama yang terlibat dalam ijtimak ulama sudah sangat jelas bahwa pancasila dan nkri itu adalah harga mati tidak ada itu khilafah khilafah hanyalah bualan para makhluk di kolam uasdifitnahkejidanbrutal uasdifitnahkejibalasditps,16 pakta integritas prabowo sandi ulama terlibat ijtimak ulama pancasila nkri harga mati tidak khilafah khilafah bualan makhluk kolam uasdifitnahkejidanbrutal uasdifitnahkejibalasditps,16 pakta integritas prabowo sandi ulama libat ijtimak ulama pancasila nkri harga mati tidak khilafah khilafah bual makhluk kolam uasdifitnahkejidanbrutal uasdifitnahkejibalasditps
18,netral,saya dengar pak mbak vidya dari curup dulu beli lipstik purbasari harga 25 ribu tapi sekarang beli lipstik nyx tidak cukup 25 ribu y,dengar mbak vidya curup beli lipstik purbasari harga 25 ribu beli lipstik nyx tidak 25 ribu y,dengar mbak vidya curup beli lipstik purbasari harga 25 ribu beli lipstik nyx tidak 25 ribu y
19,positif,prabowo sejak jadi tni puluhan tahun tidak dia ambil gajinya serupiah pun sandi sejak jadi wagub juga demikian susah ya cari orang seperti mereka yang tidak ambil gaji dari hasil mereka kerja untuk negara pictwittercomux372njznw,prabowo tni puluhan tidak ambil gajinya serupiah sandi wagub susah ya cari orang tidak ambil gaji hasil kerja negara pictwittercomux372njznw,prabowo tni puluh tidak ambil gaji rupiah sandi wagub susah ya cari orang tidak ambil gaji hasil kerja negara pictwittercomux372njznw
20,netral,assalamualaikum saya tahu 1 suara itu sangat berharga dalam upaya memenangkan 02 prabowo sandiuno saya harus merelakan suara dikarenakan berada di jakarta namun ktp daerah semoga suara saya yang tidak disertakan bisa terbalaskan dengan doa semoga allah swt mengabulkan itu amin ya rabb a,assalamualaikum 1 suara berharga upaya memenangkan 02 prabowo sandiuno merelakan suara jakarta ktp daerah semoga suara tidak disertakan terbalaskan doa semoga allah swt mengabulkan amin ya rabb a,assalamualaikum 1 suara harga upaya menang 02 prabowo sandiuno rela suara jakarta ktp daerah moga suara tidak serta balas doa moga allah swt kabul amin ya rabb a
21,negatif,jika terpilih prabowosandiaga janji tak ambil gaji kita tahu mereka orangorang yang superkaya mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh contentdetikcomutm termechoboxutm mediumoautm campaigndetikcomsocmedutm sourcetwitterechobox15171378a a,terpilih prabowosandiaga janji ambil gaji orangorang superkaya mbok ya rendah hatilah kata2 berkonotasi angkuh contentdetikcomutm termechoboxutm mediumoautm campaigndetikcomsocmedutm sourcetwitterechobox15171378a a,pilih prabowosandiaga janji ambil gaji orangorang superkaya mbok ya rendah hati kata2 konotasi angkuh contentdetikcomutm termechoboxutm mediumoautm campaigndetikcomsocmedutm sourcetwitterechobox15171378a a
22,negatif,prabowo apa bapak tidak menghargai relawan yang puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 mhn dibalas tweet dan kontribusi ngopi rokok dan lain mereka yang tirakatmujahadah jika tidak maka 02 akan gagalayo semua tirakat munajadin,prabowo tidak menghargai relawan puasa tirakatan munajad semalam suntuk berdoa kemenangan 02 mhn dibalas tweet kontribusi ngopi rokok tirakatmujahadah tidak 02 gagalayo tirakat munajadin,prabowo tidak harga rawan puasa tirakat munajad malam suntuk doa menang 02 mhn balas tweet kontribusi ngopi rokok tirakatmujahadah tidak 02 gagalayo tirakat munajadin
23,positif,prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yang tidak akan diambil dan akan disedekahkan 17apriltusukprabowosandi,prabowo sandi menang otomatis bersedekah kaum farkir miskin dhuafa gaji berfua tidak diambil disedekahkan 17apriltusukprabowosandi,prabowo sandi menang otomatis sedekah kaum farkir miskin dhuafa gaji berfua tidak ambil sedekah 17apriltusukprabowosandi
24,positif,pilihorangbaik pilihjelasislamnya pilihbajuputih kepercayaan hanya diberikan pada mereka yang berpengalaman seorang jokowi memiliki wakil yang berpengalaman dibidang ekonomi coblos yuk 01 yaa a,pilihorangbaik pilihjelasislamnya pilihbajuputih kepercayaan berpengalaman jokowi memiliki wakil berpengalaman dibidang ekonomi coblos yuk 01 yaa a,pilihorangbaik pilihjelasislamnya pilihbajuputih percaya alam jokowi milik wakil alam bidang ekonomi coblos yuk 01 yaa a
25,negatif,ummat islam yang waras dan cerdas pasti senang beramalcoblos prabowo anda ikut andil dalam beramal gaji beliau tidak diambil tapi untuk amal,ummat islam waras cerdas senang beramalcoblos prabowo andil beramal gaji beliau tidak diambil amal,ummat islam waras cerdas senang beramalcoblos prabowo andil amal gaji beliau tidak ambil amal
26,positif,pilihorangbaik pilihjelasislamnya pilihbajuputih keberhasilan tidak hanya dibidang infrastruktur jokowi juga berhasil memperbaiki ekonomi indonesia coblos yuk 01 yaa a,pilihorangbaik pilihjelasislamnya pilihbajuputih keberhasilan tidak dibidang infrastruktur jokowi berhasil memperbaiki ekonomi indonesia coblos yuk 01 yaa a,pilihorangbaik pilihjelasislamnya pilihbajuputih hasil tidak bidang infrastruktur jokowi hasil baik ekonomi indonesia coblos yuk 01 yaa a
27,negatif,model ngeles petruk sudah ketaker berbusa2 didepan sandi membicarakan ekonomi makro dengan congkaknya untung sandi nya sabar tidak di kick balik pantas menteri2nya yang pintar2 pada mbodoni lha juragannya kayak gini pekk nya y y uasdifitnahkejibalasditps prabowo sandiuno,model ngeles petruk ketaker berbusa2 didepan sandi membicarakan ekonomi makro congkaknya untung sandi nya sabar tidak kick menteri2nya pintar2 mbodoni lha juragannya kayak gini pekk nya y y uasdifitnahkejibalasditps prabowo sandiuno,model ngeles truk ketaker berbusa2 depan sandi bicara ekonomi makro congkak untung sandi nya sabar tidak kick menteri2nya pintar2 mbodoni lha juragan kayak gin pekk nya y y uasdifitnahkejibalasditps prabowo sandiuno
28,positif,dengan memilih 02 kita sudah bersodakoh karena prabowo sandi menyumbangkan gaji mereka untuk negarafakir miskin yatim piatu masjid jadikan prabowo sandi presiden dan wakil presiden ri save uas,memilih 02 bersodakoh prabowo sandi menyumbangkan gaji negarafakir miskin yatim piatu masjid jadikan prabowo sandi presiden wakil presiden ri save uas,pilih 02 bersodakoh prabowo sandi sumbang gaji negarafakir miskin yatim piatu masjid jadi prabowo sandi presiden wakil presiden ri save uas
29,positif,alhamdulillah capres 02 mau sedekahkan gajinya untuk rakyat miskin disini kami korban2 gempa2 pasigala butuh bantuan pak prabowo sandiuno karniilyas rockygerung prabowosandi 02menangadilmakmur,alhamdulillah capres 02 sedekahkan gajinya rakyat miskin korban2 gempa2 pasigala butuh bantuan prabowo sandiuno karniilyas rockygerung prabowosandi 02menangadilmakmur,alhamdulillah capres 02 sedekah gaji rakyat miskin korban2 gempa2 pasigala butuh bantu prabowo sandiuno karniilyas rockygerung prabowosandi 02menangadilmakmur
30,netral,no 5 donk mang dan sayah percaya semua saudara seperjuangan 02 ikhlas hanya ingin negeri ini berubah jauh lebik baik lagi dari sekarang masyarakatnya damai tenang amankesejahteraan meningkat harga2 rendah stabil uasdifitnahkejibalasditps uasdifitnahkejibalasditps,no 5 donk mang sayah percaya saudara seperjuangan 02 ikhlas negeri berubah lebik masyarakatnya damai tenang amankesejahteraan meningkat harga2 rendah stabil uasdifitnahkejibalasditps uasdifitnahkejibalasditps,no 5 donk mang sayah percaya saudara juang 02 ikhlas negeri ubah lebik masyarakat damai tenang amankesejahteraan tingkat harga2 rendah stabil uasdifitnahkejibalasditps uasdifitnahkejibalasditps
31,negatif,divhumas polri gakan di ladenin sama pak pulisi karena pak pulisi di gaji sama jokowi pakai duit jokowi bukaan sama rakyat lapor nya nanti saja tunggu sudah ganti presiden uasdifitnahkejidanbrutal uasdifitnahkejidanbrutal uasdifitnahkejidanbrut,divhumas polri gakan ladenin pulisi pulisi gaji jokowi pakai duit jokowi bukaan rakyat lapor nya tunggu ganti presiden uasdifitnahkejidanbrutal uasdifitnahkejidanbrutal uasdifitnahkejidanbrut,divhumas polri gakan ladenin pulisi pulisi gaji jokowi pakai duit jokowi buka rakyat lapor nya tunggu ganti presiden uasdifitnahkejidanbrutal uasdifitnahkejidanbrutal uasdifitnahkejidanbrut
32,negatif,baguslah pendukung jokowi tebang pohon bukan dengan golokgergaji tapi dengan ranting pohon itu sendiri jadi elektabilitas jokowi nyungseb bukan oleh lawan politiknya tapi oleh pendukung dari dalam sendiri tolol dipelihara dasar ebong a,baguslah pendukung jokowi tebang pohon golokgergaji ranting pohon elektabilitas jokowi nyungseb lawan politiknya pendukung tolol dipelihara dasar ebong a,bagus dukung jokowi tebang pohon golokgergaji ranting pohon elektabilitas jokowi nyungseb lawan politik dukung tolol pelihara dasar ebong a
33,positif,memang tidak bisa kita menghendaki harga cabai sampai rp 10 harga bawang sampai rp 50 petaninya yang kasihan kata jokowi 2019jokowikyaimaruf 1periodelagiuntukjokowi pesonabonosurfing nusantarastatus1061795598209232896photo1 pictwittercomnapi0soreia,tidak harga cabai rp 10 harga bawang rp 50 petaninya kasihan jokowi 2019jokowikyaimaruf 1periodelagiuntukjokowi pesonabonosurfing nusantarastatus1061795598209232896photo1 pictwittercomnapi0soreia,tidak harga cabai rp 10 harga bawang rp 50 petan kasihan jokowi 2019jokowikyaimaruf 1periodelagiuntukjokowi pesonabonosurfing nusantarastatus1061795598209232896photo1 pictwittercomnapi0soreia
34,netral,presiden jokowi dan raja salman sepakat tingkatkan kerjasama ekonomi a via apahabarcom,presiden jokowi raja salman sepakat tingkatkan kerjasama ekonomi a via apahabarcom,presiden jokowi raja salman sepakat tingkat kerjasama ekonomi a via apahabarcom
35,negatif,02 selesai hidupmu bisanya cuma harga mahal turunkan solusi 0 kubu prabowo bahlull,02 selesai hidupmu bisanya harga mahal turunkan solusi 0 kubu prabowo bahlull,02 selesai hidup bisa harga mahal turun solusi 0 kubu prabowo bahlull
36,positif,tak akan terima gaji sebagai presiden dan wapres akan disumbangkan ke negara dan fakir miskinpertama dalam sejarah bangsa indonesia debat pilpres pernyataan penutup prabowosandiaga uno lewat youtube,terima gaji presiden wapres disumbangkan negara fakir miskinpertama sejarah bangsa indonesia debat pilpres pernyataan penutup prabowosandiaga uno youtube,terima gaji presiden wapres sumbang negara fakir miskinpertama sejarah bangsa indonesia debat pilpres nyata tutup prabowosandiaga uno youtube
37,positif,kalau infrastructure yang di bangun pakai uang pribadi dia boleh lah yang tidak mendukung untuk tidak lewat sana tapi ini pakai pajak dari semua warga negara dan setiap lewat pun harus bayar,infrastructure bangun pakai uang pribadi tidak mendukung tidak pakai pajak warga negara bayar,infrastructure bangun pakai uang pribadi tidak dukung tidak pakai pajak warga negara bayar
38,positif,pilihorangbaik pilihygjelasislamnya pilihygbajuputih ada beberapa penghargaan yang dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin yang diakui integritasnya a,pilihorangbaik pilihygjelasislamnya pilihygbajuputih penghargaan dianugerahkan bukti jokowi sosok pemimpin diakui integritasnya a,pilihorangbaik pilihygjelasislamnya pilihygbajuputih harga anugerah bukti jokowi sosok pimpin aku integritas a
39,positif,bersatu bersama jokowikma pilihorangbaik pilihjelasislamnya pilihbajuputih berbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jika sangat jauh meningkat a,bersatu jokowikma pilihorangbaik pilihjelasislamnya pilihbajuputih pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jokowi meningkat a,satu jokowikma pilihorangbaik pilihjelasislamnya pilihbajuputih capai hasil capai tumbuh ekonomi era perintah jokowi tingkat a
40,netral,orang luar negeri sangat menghargai prestasi yang sudah dilakukan jokowi tetapi dinegaranya sendiri banyak yang mencaci,orang negeri menghargai prestasi jokowi dinegaranya mencaci,orang negeri harga prestasi jokowi negara caci
41,netral,maaf pak rakyat tidak butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja bukan janji2 saja uasdifitnahkejidanbrutal,maaf rakyat tidak butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja janji2 uasdifitnahkejidanbrutal,maaf rakyat tidak butuh peluk rakyat butuh harga sembako murah listrik tarif turun butuh lap kerja janji2 uasdifitnahkejidanbrutal
42,netral,gameofthrones winter is coming pidato jokowi di imf bank dunia ibaratkan ekonomi dunia seperti game of thrones game of throneaTM presiden jokowi penting kekuatan bersama untuk kalahkan a evil winteraTM a a 2019tetapjokowi pictwittercomb8bzpjbffi,gameofthrones winter is coming pidato jokowi imf bank dunia ekonomi dunia game of thrones game of throneatm presiden jokowi kekuatan kalahkan a evil winteratm a a 2019tetapjokowi pictwittercomb8bzpjbffi,gameofthrones winter is coming pidato jokowi imf bank dunia ekonomi dunia game of thrones game of throneatm presiden jokowi kuat kalah a evil winteratm a a 2019tetapjokowi pictwittercomb8bzpjbffi
43,positif,vidiaamanda3 17 april pilih jokowikma pilihorangbaik pilihjelasislamnya pilihbajuputih dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan namun di zaman pak jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan,vidiaamanda3 17 april pilih jokowikma pilihorangbaik pilihjelasislamnya pilihbajuputih pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan,vidiaamanda3 17 april pilih jokowikma pilihorangbaik pilihjelasislamnya pilihbajuputih tumbuh ekonomi perata zaman jokowi tumbuh ekonomi perata bangun
44,netral,jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi a 01optimisindonesiamaju pictwittercomgudihikymw,jokowi raja salman sepakat tingkatkan kerja ekonomi a 01optimisindonesiamaju pictwittercomgudihikymw,jokowi raja salman sepakat tingkat kerja ekonomi a 01optimisindonesiamaju pictwittercomgudihikymw
45,negatif,uahuasuahuas meskipun saya di surga mungkin saya tak bahagia bahagiaku tak sempurna bila itu tanpamu gandeng tangan prabowo baru jadi ustad sudah yakin masuk surga ckckckck salah pilih guru ngaji saya 2019gantipengajian,uahuasuahuas surga bahagia bahagiaku sempurna tanpamu gandeng tangan prabowo ustad masuk surga ckckckck salah pilih guru ngaji 2019gantipengajian,uahuasuahuas surga bahagia bahagia sempurna tanpa gandeng tangan prabowo ustad masuk surga ckckckck salah pilih guru ngaji 2019gantipengajian
46,negatif,buat anggota kpu id anda tidak layak digaji sebaiknya rasa malu diutamakan daripada isi perut gede bacot minim torehan prestasi cc jokowi,anggota kpu id tidak layak digaji malu diutamakan isi perut gede bacot minim torehan prestasi cc jokowi,anggota kpu id tidak layak gaji malu utama isi perut gede bacot minim toreh prestasi cc jokowi
47,netral,gasah mengejek program pa jokowi karena program ini juga tidak asal pasti sudah dipikirkan matang seperti program kis dulu mari kita hargai jangan saling menghujat,gasah mengejek program pa jokowi program tidak dipikirkan matang program kis mari hargai menghujat,gasah ejek program pa jokowi program tidak pikir matang program kis mari harga hujat
48,netral,monggo silahkanitu hak andahargai juga kami yang inginkan perubahan lebih baik,monggo silahkanitu hak andahargai perubahan,monggo silahkanitu hak andahargai ubah
49,positif,pilihorangbaik pilihjelasislamnya pilihbajuputih beberapa penghargaan yang dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin yang diakui integritasnya a,pilihorangbaik pilihjelasislamnya pilihbajuputih penghargaan dianugerahkan bukti jokowi sosok pemimpin diakui integritasnya a,pilihorangbaik pilihjelasislamnya pilihbajuputih harga anugerah bukti jokowi sosok pimpin aku integritas a
50,negatif,he he he sok bijak nih antek orba pikirkan letjen pecatan yang bilang biang kerok ekonomi indonesia adalah presiden sebelum jokowi ada jenderal sby gimana demokrat tidak beralih dukungan ke jokowi coba,he he he sok bijak nih antek orba pikirkan letjen pecatan bilang biang kerok ekonomi indonesia presiden jokowi jenderal sby gimana demokrat tidak beralih dukungan jokowi coba,he he he sok bijak nih antek orba pikir letjen pecat bilang biang kerok ekonomi indonesia presiden jokowi jenderal sby gimana demokrat tidak alih dukung jokowi coba
